delim_len,delim_reps,temperature,success_rate_%,runs
0,1,0.0,100.0,4
0,1,0.5,100.0,4
0,1,1.0,100.0,4
0,2,0.0,100.0,4
0,2,0.5,100.0,4
0,2,1.0,100.0,4
0,3,0.0,100.0,4
0,3,0.5,100.0,4
0,3,1.0,100.0,4
4,1,0.0,100.0,4
4,1,0.5,100.0,4
4,1,1.0,100.0,4
4,2,0.0,100.0,4
4,2,0.5,75.0,4
4,2,1.0,75.0,4
4,3,0.0,100.0,4
4,3,0.5,100.0,4
4,3,1.0,100.0,4
10,1,0.0,100.0,4
10,1,0.5,100.0,4
10,1,1.0,100.0,4
10,2,0.0,100.0,4
10,2,0.5,100.0,4
10,2,1.0,100.0,4
10,3,0.0,100.0,4
10,3,0.5,100.0,4
10,3,1.0,100.0,4
20,1,0.0,100.0,4
20,1,0.5,100.0,4
20,1,1.0,100.0,4
20,2,0.0,100.0,4
20,2,0.5,100.0,4
20,2,1.0,100.0,4
20,3,0.0,100.0,4
20,3,0.5,100.0,4
20,3,1.0,100.0,4
